,title,year,abstract,publisher,top_20_words
16,"Metamorphic testing of a Monte Carlo modeling program,","2011,","Photon propagation in biological tissue can be equivalently modeled with Monte Carlo simulations numerically or by the Radiative Transfer Equation (RTE) analytically. However, testing of a Monte Carlo program modeling photon propagation in biological tissue is difficult due to the unknown character of the test oracles. Although approaches based on Beer-Lambert law, van de Hulst's table or RTE can be used for testing the Monte Carlo modeling program, these approaches are only applied to the program that is designed for homogeneous media. A rigorous way for testing the Monte Carlo modeling program for heterogeneous media is needed. In this paper, we investigate the effectiveness of the metamorphic testing approach to test a Monte Carlo modeling program for heterogeneous media. In addition, the metamorphic testing is extended with the evaluation of the adequacy of testing coverage criteria to measure the quality of the metamorphic testing, to guide the creation of metamorphic relations, to generate testing inputs, and to investigate the found exceptions. The effectiveness of the approach has been demonstrated through testing a Monte Carlo modeling program we developed for simulating photon propagation in human skins.,","Association for Computing Machinery,","monte, carlo, modeling, photon, propagation, program, media, rte, tissue, biological, heterogeneous, testing, investigate, hulst, van, table, radiative, analytically, beer, skins"
17,"Automatic system testing of programs without test oracles,","2009,","Metamorphic testing has been shown to be a simple yet effective technique in addressing the quality assurance of applications that do not have test oracles, i.e., for which it is difficult or impossible to know what the correct output should be for arbitrary input. In metamorphic testing, existing test case input is modified to produce new test cases in such a manner that, when given the new input, the application should produce an output that can easily be computed based on the original output. That is, if input x produces output f(x), then we create input x' such that we can predict f(x') based on f(x); if the application does not produce the expected output, then a defect must exist, and either f(x), or f(x') (or both) is wrong.In practice, however, metamorphic testing can be a manually intensive technique for all but the simplest cases. The transformation of input data can be laborious for large data sets, or practically impossible for input that is not in human-readable format. Similarly, comparing the outputs can be error-prone for large result sets, especially when slight variations in the results are not actually indicative of errors (i.e., are false positives), for instance when there is non-determinism in the application and multiple outputs can be considered correct.In this paper, we present an approach called Automated Metamorphic System Testing. This involves the automation of metamorphic testing at the system level by checking that the metamorphic properties of the entire application hold after its execution. The tester is able to easily set up and conduct metamorphic tests with little manual intervention, and testing can continue in the field with minimal impact on the user. Additionally, we present an approach called Heuristic Metamorphic Testing which seeks to reduce false positives and address some cases of non-determinism. We also describe an implementation framework called Amsterdam, and present the results of empirical studies in which we demonstrate the effectiveness of the technique on real-world programs without test oracles.,","Association for Computing Machinery,","input, output, produce, application, determinism, positives, metamorphic, called, easily, impossible, false, sets, present, testing, technique, cases, non, correct, readable, amsterdam"
18,"Workshop Summary: 2019 IEEE / ACM Fourth International Workshop on Metamorphic Testing (MET 2019),","2020,","MET is a relatively new workshop on metamorphic testing for academic researchers and industry practitioners. The first international workshop on MET (MET 2016) was co-located with the 38th International Conference on Software Engineering (ICSE 2016) in Austin TX, USA on May 16, 2016. Since then the workshop has become an annual event. This paper reports on the fourth International Workshop on Metamorphic Testing (MET 2019) held in Montr\'eal, Canada on May 26, 2019, as part of the 41st International Conference on Software Engineering (ICSE 2019). We first outline the aims of the workshop, followed by a discussion of its keynote speech and technical program.,","Association for Computing Machinery,","workshop, international, met, 2016, 2019, icse, conference, engineering, 38th, tx, located, 26, montr, austin, followed, canada, eal, 41st, annual, outline"
19,"A Testing Tool for Machine Learning Applications,","2020,","We present the design of MTKeras, a generic metamorphic testing framework for machine learning, and demonstrate its effectiveness through case studies in image classification and sentiment analysis.,","Association for Computing Machinery,","mtkeras, sentiment, generic, classification, demonstrate, design, image, studies, present, framework, analysis, machine, case, learning, effectiveness, metamorphic, testing, pathsets, patients, paths"
20,"New ideas: automated engineering of metamorphic testing environments for domain-specific languages,","2021,","Two crucial aspects for the trustworthy utilization of domain-specific languages (DSLs) are their semantic correctness, and proper testing support for their users. Testing is frequently used to verify correctness, but is often done informally -- which may yield unreliable results -- and requires substantial effort for creating suitable test cases and oracles.  To alleviate this situation, we propose an automated technique for building metamorphic testing environments for DSLs. Metamorphic testing identifies expected relationships between the outputs of two consecutive tests, reducing the effort in specifying oracles and creating test cases manually. This new ideas paper presents the overarching concepts, the architecture and a prototype implementation. We illustrate our proposal using a DSL to model and simulate data centres.,","Association for Computing Machinery,","dsls, creating, effort, dsl, trustworthy, overarching, informally, oracles, correctness, prototype, specifying, unreliable, substantial, frequently, yield, centres, proper, identifies, consecutive, building"
21,"Workshop Summary: 7th International Workshop on Metamorphic Testing (MET 2022),","2022,","This report summarises the organisation and execution of MET 2022, the 7th International Workshop on Metamorphic Testing, which took place as a virtual event in conjunction with the ICSE 2022 conference.,","Association for Computing Machinery,","2022, organisation, 7th, summarises, took, icse, conference, conjunction, international, workshop, place, event, met, virtual, report, execution, metamorphic, testing, patients, party"
22,"Performance metamorphic testing: motivation and challenges,","2017,","Performance testing is a challenging task mainly due to the lack of test oracles, that is, mechanisms to decide whether the performance of a program under a certain workload is either acceptable or poor due to a performance bug. Metamorphic testing enables the generation of test cases in the absence of an oracle by exploiting the relations (so-called metamorphic relations) between the inputs and outputs of multiple executions of the program under test. In the last two decades, metamorphic testing has been successfully used to detect functional faults in a variety of domains, ranging from web services to simulators. However, the applicability of metamorphic testing to detect performance bugs is a topic that remains unexplored. In this vision paper, we introduce Performance Metamorphic Relations (PMRs) as expected relations between the performance measurements of multiple executions of the program under test. We hypothesize that these relations can be turned into assertions for the automated detection of performance bugs removing the need for complex benchmarks and domain experts guidance. As a further benefit, PMRs can be turned into fitness functions to guide search-based techniques on the generation of test data that violate the relations, revealing bugs. This novel idea is motivated with examples and an overview of some of the challenges in this promising topic.,","IEEE Press,","performance, pmrs, turned, relations, topic, bugs, program, executions, test, violate, hypothesize, measurements, multiple, metamorphic, unexplored, removing, generation, simulators, acceptable, assertions"
23,"Validating communication network configurations in cloud and HPC systems using Metamorphic Testing,","2022,","During the last years, the fast evolution of computers and networks has led to the creation of a wide variety of services that have changed the way we live, like video streaming, online gaming and online shopping. These services are supported by complex systems, which require not only high computational power but high-speed and low-latency networks to fulfil the expected quality requirements. However, a misleading configuration in one of the thousand components that compose these systems may cause performance bottlenecks and functioning disruptions. Unfortunately, conventional testing methods are not adequate for checking these systems since, on many occasions, there is no mechanism to determine if the behaviour of a system is the expected one. Fortunately, Metamorphic Testing is a valuable and promising testing technique that alleviates the two fundamental problems of testing: the oracle problem and the reliable test set problem. In this paper, we combine Metamorphic Testing and simulation techniques for validating communication network configurations in HPC systems. For this, we rely on a catalogue of Metamorphic Relations, based on network communications knowledge, for checking their correctness. In addition, we have conducted an experimental study for analysing the communication networks of HPC systems. The results show that Metamorphic Testing is appropriate for checking the correctness of communication networks supported by complex topologies in HPC systems.,","Association for Computing Machinery,","hpc, networks, communication, systems, checking, supported, online, services, network, testing, occasions, compose, thousand, topologies, fortunately, bottlenecks, live, functioning, shopping, latency"
24,"Using semi-supervised learning for predicting metamorphic relations,","2018,","Software testing is difficult to automate, especially in programs which have no oracle, or method of determining which output is correct. Metamorphic testing is a solution this problem. Metamorphic testing uses metamorphic relations to define test cases and expected outputs. A large amount of time is needed for a domain expert to determine which metamorphic relations can be used to test a given program. Metamorphic relation prediction removes this need for such an expert. We propose a method using semi-supervised machine learning to detect which metamorphic relations are applicable to a given code base. We compare this semi-supervised model with a supervised model, and show that the addition of unlabeled data improves the classification accuracy of the MR prediction model.,","Association for Computing Machinery,","supervised, semi, expert, prediction, model, metamorphic, given, removes, relations, unlabeled, base, method, needed, automate, improves, determining, applicable, define, compare, especially"
25,"Interactive metamorphic testing of debuggers,","2019,","When improving their code, developers often turn to interactive debuggers. The correctness of these tools is crucial, because bugs in the debugger itself may mislead a developer, e.g., to believe that executed code is never reached or that a variable has another value than in the actual execution. Yet, debuggers are difficult to test because their input consists of both source code and a sequence of debugging actions, such as setting breakpoints or stepping through code. This paper presents the first metamorphic testing approach for debuggers. The key idea is to transform both the debugged code and the debugging actions in such a way that the behavior of the original and the transformed inputs should differ only in specific ways. For example, adding a breakpoint should not change the control flow of the debugged program. To support the interactive nature of debuggers, we introduce interactive metamorphic testing. It differs from traditional metamorphic testing by determining the input transformation and the expected behavioral change it causes while the program under test is running. Our evaluation applies the approach to the widely used debugger in the Chromium browser, where it finds eight previously unknown bugs with a true positive rate of 51%. All bugs have been confirmed by the developers, and one bug has even been marked as release-blocking.,","Association for Computing Machinery,","debuggers, interactive, code, debugger, debugged, actions, debugging, bugs, change, developers, stepping, blocking, breakpoints, differs, mislead, chromium, breakpoint, behavioral, variable, release"
26,"Agile metamorphic model-based testing,","2016,","Testing becomes difficult when we cannot easily determine whether the system delivers the correct result or not. To address this issue, we have developed a framework for automated testing of NASA's DAT system using metamorphic testing principles combined with model based testing. Based on the results from using the framework to test DAT we have determined that this is a cost beneficial solution allowing for comprehensive testing that detects defects without having to develop complex testing infrastructure to determine the oracle. In our approach, DAT queries are automatically generated from a set of metamorphic testing models where each model encodes one or more of the identified equivalences. In addition, we use a scheme for generating time stamps that we use to automatically create time pairs that add another equivalence dimension.,","Association for Computing Machinery,","dat, testing, determine, time, stamps, dimension, equivalences, add, scheme, automatically, framework, encodes, delivers, nasa, beneficial, use, model, determined, allowing, infrastructure"
27,"ARCAMETES: A Learning Approach for Metamorphic Exploration and Testing,","2020,","In its simplest form, software testing consists of creating test cases from a defined input space, running them in the system-under-test (SUT), and evaluating the outputs with a mechanism for determining success or failure (i.e. an oracle). Metamorphic testing (MT) provides powerful concepts for alleviating the problem of a lack of oracles. To increase the adoption of MT among industry practitioners, approaches and tools that lower the effort to identify potential metamorphic relations (MRs) are very much in demand. As such, we propose a learning-based approach to MR discovery and exploration using concepts of metamorphic testing, association rule learning, and combinatorial testing. The results have implications for numerous applications including software testing and program comprehension, among others. These implications set a strong foundation for a future, extensible metamorphic exploration framework.,","Association for Computing Machinery,","implications, concepts, exploration, simplest, combinatorial, association, extensible, discovery, testing, comprehension, foundation, rule, lower, running, strong, demand, mt, powerful, learning, consists"
28,"An application of metamorphic testing for testing scientific software,","2016,","One of the grand challenges for adequately testing scientific software is due to the oracle problem. Metamorphic testing is the promise technique for addressing the problem through checking the satisfaction of a metamorphic relation that defines the correlation on the relation of paired test inputs and the one of their corresponding outputs. Therefore, checking the correctness of an individual test is replaced by checking the satisfaction of the metamorphic relation among a group of tests. However, the quality of the testing is highly depended on the identification of metamorphic relations. In this paper, we use an iterative approach for the development and refinement of metamorphic relations during testing process through testing an open source discrete dipole approximation program called ADDA. Through studying ADDA program, we discuss the experience and challenges of metamorphic testing for testing scientific software.,","Association for Computing Machinery,","adda, checking, satisfaction, relation, scientific, testing, metamorphic, depended, dipole, promise, refinement, challenges, correlation, approximation, paired, replaced, grand, studying, discrete, adequately"
29,"Experiences of testing bioinformatics programs for detecting subtle faults,","2016,","One of the biggest challenges for conducting automated systematic testing on scientific programs is the oracle problem. This challenge is especially prevalent in the field of bioinformatics due to the inherent complexity of these programs. In this paper, we explore two approaches: pseudo-oracles and metamorphic testing for conducting automated systematic testing of bioinformatics programs. We use BBMap: an open source genome alignment tool as the system under test to evaluate the effectiveness of the above two approaches for identifying subtle faults.Our results show that the pseudo-oracle testing does not provide a consistent basis for fault-detection. This is mainly due to not having a consistent rate of agreement between the outputs of the system under test and the pseudo-oracle. On the other hand, metamorphic testing detects a majority of subtle faults, suggesting that it is more effective in identifying these types of faults.,","Association for Computing Machinery,","pseudo, subtle, consistent, faults, conducting, bioinformatics, programs, identifying, systematic, agreement, approaches, bbmap, biggest, automated, oracle, alignment, suggesting, genome, testing, basis"
30,"Composite metamorphic relations for integration testing,","2022,","Metamorphic testing is a testing method for problems without test oracles. Integration testing allows for detecting errors in complex systems that may not be found during the testing of their components. In this paper, we propose a novel approach that applies metamorphic testing in integration testing. The main idea is to develop a composite metamorphic relation for the system represented as an acyclic graph. This relation is a logical function of metamorphic relations for the parts of the system (vertices of the graph). It takes into account the features of the parts. Also, it can simplify the search for failure by identifying the subsystem with error. In this paper’s theoretical part, we describe an algorithm of relation design. Then, we apply our method to a bioinformatics system for comparative genetic analysis of tissues using production tools. This experiment proves our method can be applied to real-life pipelines and find errors in them.,","Association for Computing Machinery,","parts, relation, graph, integration, method, errors, testing, vertices, logical, acyclic, pipelines, tissues, comparative, subsystem, simplify, represented, proves, takes, composite, genetic"
31,"Metamorphic relations for data validation: a case study of translated text messages,","2019,","In conventional metamorphic testing, metamorphic relations (MRs) are identified as necessary properties of a computer program's intended functionality, whereby violations of MRs reveal faults in the program---under the assumption that the source and follow-up inputs (test cases used in metamorphic testing) are valid. In the present study, the authors argue that MRs can also be used to validate and assess the quality of the program's input data---under the assumption that the source or follow-up inputs can be inappropriately generated. Using this new perspective, a case study in the natural language processing domain is used to explore the different types of text messages that are difficult to interpret by (Chinese-English) machine translation. A total of 46,180 short user comments on Personal Tailor (a 2013 Chinese film), collected from Douban (a popular Chinese social media platform), has been used as the primary dataset of this study, and the analysis of results demonstrates that the proposed MR-based data validation method is useful for the automatic identification of poorly translated text messages.,","IEEE Press,","chinese, messages, assumption, text, mrs, used, program, study, follow, inappropriately, 180, comments, film, 2013, douban, tailor, 46, poorly, source, valid"
32,"MRpredT: Using Text Mining for Metamorphic Relation Prediction,","2020,","Metamorphic relations (MRs) are an essential component of metamorphic testing (MT) that highly affects its fault detection effectiveness. MRs are usually identified with the help of a domain expert, which is a labor-intensive task. In this work, we explore the feasibility of a text classification-based machine learning approach to predict MRs using their program documentation as the sole input. We compare our method to our previously developed graph kernelbased machine learning approach and demonstrate that textual features extracted from program documentation are highly effective for predicting metamorphic relations for matrix calculation programs.,","Association for Computing Machinery,","documentation, mrs, highly, sole, kernelbased, affects, labor, textual, matrix, machine, program, predicting, learning, expert, calculation, intensive, feasibility, extracted, component, predict"
33,"μMT: a data mutation directed metamorphic relation acquisition methodology,","2016,","When figuring out the expected output for each test case is difficult, metamorphic testing can be applied to alleviate such situations. An involved key challenge is to derive metamorphic relations for the program under test. This paper proposes a datamutation directed metamorphic relation acquisition methodology called μMT. Experimental results on three case studies show that μMT is feasible in deriving metamorphic relations for numeric applications and the derived metamorphic relations show reasonable fault detection effectiveness.,","Association for Computing Machinery,","μmt, datamutation, figuring, metamorphic, numeric, acquisition, reasonable, directed, relations, deriving, involved, case, derive, feasible, derived, situations, proposes, methodology, key, challenge"
